year,emissions_gtc,emissions_ppm,emissions_fossil_excl_cement_gtc,emissions_fossil_excl_cement_ppm,emissions_fossil_cement_gtc,emissions_fossil_cement_ppm,emissions_fossil_cement_luc_gtc,emissions_fossil_cement_luc_ppm,observed_law_dome_instrumental_spliced_ppm,observed_noaa_global_ppm,observed_noaa_mauna_loa_ppm
1942,2.9683074545454553,1.39750821777093,1.3473035454545457,0.6343237031330252,1.3577697272727274,0.6392512840267077,2.9683074545454553,1.39750821777093,310.9,,
1943,2.990521909090909,1.4079670005136105,1.373502818181818,0.6466585772984077,1.3829852727272727,0.6511230097586029,2.990521909090909,1.4079670005136105,310.5,,
1944,2.9956971818181812,1.4104035695942472,1.4005892727272726,0.6594111453518232,1.4067703636363635,0.6623212634822804,2.9956971818181812,1.4104035695942472,311.4,,
1945,2.767838181818182,1.303125321006677,1.1624631818181819,0.5472990498202362,1.1687320909090908,0.550250513610683,2.767838181818182,1.303125321006677,309.6,,
1946,2.8451454545454546,1.3395223420647149,1.245894,0.5865790960451978,1.2557956363636364,0.591240883410375,2.8451454545454546,1.3395223420647149,311.5,,
1947,2.9833350000000003,1.4045833333333333,1.3956861818181818,0.6571027221366205,1.407451909090909,0.6626421417565485,2.9833350000000003,1.4045833333333333,310.8,,
1948,3.0457628181818186,1.4339749614791988,1.4703834545454546,0.6922709296353364,1.4844657272727273,0.698901001540832,3.0457628181818186,1.4339749614791988,310.5,,
1949,2.9681367272727273,1.3974278376990241,1.4022717272727272,0.6602032614278376,1.4181414545454545,0.6676748844375963,2.9681367272727273,1.3974278376990241,309.9,,
1950,3.430758818181818,1.6152348484848482,1.5977776363636362,0.752249357986646,1.6160230909090907,0.7608394966615304,3.430758818181818,1.6152348484848482,312.6,,
1951,3.7018611818181815,1.7428724961479196,1.7182862727272727,0.8089860041088854,1.7389497272727272,0.8187145608628659,3.7018611818181815,1.7428724961479196,312.43333333333334,,
1952,3.740062090909091,1.7608578582434513,1.7404363636363636,0.8194144838212634,1.7624579999999999,0.8297824858757061,3.740062090909091,1.7608578582434513,312.2666666666667,,
1953,3.8258738181818184,1.8012588597842836,1.7877376363636364,0.8416843862352337,1.8121592727272728,0.8531823317925012,3.8258738181818184,1.8012588597842836,312.1,,
1954,3.9793224545454544,1.873503980482794,1.8236942727272725,0.8586131227529531,1.8501853636363634,0.8710853877760656,3.9793224545454544,1.873503980482794,311.0,,
1955,4.208509636363637,1.9814075500770416,1.9990088181818182,0.9411529275808936,2.0283095454545452,0.9549479969183358,4.208509636363637,1.9814075500770416,313.5,,
1956,4.358144454545455,2.0518570878274267,2.1280216363636364,1.0018934257832564,2.159791090909091,1.016850796096559,4.358144454545455,2.0518570878274267,316.1222222222224,,
1957,4.488901636363637,2.11341884951207,2.1972826363636364,1.034502182845403,2.230678636363636,1.050225346687211,4.488901636363637,2.11341884951207,314.0,,
1958,4.533759272727273,2.134538263995891,2.258634818181818,1.0633873908577298,2.294005909090909,1.0800404468412943,4.533759272727273,2.134538263995891,314.4,,
1959,4.783524545454545,2.2521302003081662,2.3731576363636364,1.1173058551617874,2.412769909090909,1.1359557010785823,4.783524545454545,2.2521302003081662,315.98,,315.98
1960,4.628185363636364,2.1789949922958396,2.5096502727272725,1.1815679250128401,2.5525759090909093,1.2017777349768874,4.628185363636364,2.1789949922958396,316.91,,316.91
1961,4.640708181818182,2.1848908577298407,2.5149894545454545,1.1840816640986132,2.5597559999999997,1.2051581920903953,4.640708181818182,2.1848908577298407,317.64,,317.64
1962,4.596917181818181,2.1642736260914224,2.6019815454545454,1.2250383923985617,2.6500808181818183,1.2476840010272214,4.596917181818181,2.1642736260914224,318.45,,318.45
1963,4.687734,2.2070310734463274,2.7406486363636366,1.2903242167437083,2.7913707272727275,1.3142046738572162,4.687734,2.2070310734463274,318.99,,318.99
1964,4.758929454545455,2.2405505906522856,2.8863654545454547,1.358929121725732,2.942588181818182,1.385399332306112,4.758929454545455,2.2405505906522856,319.62,,319.62
1965,4.816771363636364,2.26778312788906,3.016265454545454,1.420087313816127,3.0752920909090906,1.4478776322547506,4.816771363636364,2.26778312788906,320.04,,320.04
1966,4.839148909090909,2.278318695428865,3.1618355454545455,1.4886231381612738,3.2253831818181817,1.5185419876733435,4.839148909090909,2.278318695428865,321.37,,321.37
1967,5.0320088181818186,2.369119029275809,3.2618972727272726,1.5357331792501283,3.3273193636363634,1.5665345403184385,5.0320088181818186,2.369119029275809,322.18,,322.18
1968,5.234675454545454,2.4645364663584997,3.439474909090909,1.6193384694401642,3.509094818181818,1.6521162044170516,5.234675454545454,2.4645364663584997,323.05,,323.05
1969,5.634718090909091,2.652880457113508,3.668042727272727,1.7269504365690804,3.7418424545454547,1.7616960708782743,5.634718090909091,2.652880457113508,324.62,,324.62
1970,5.8757612727272726,2.76636594761171,3.9726973636363634,1.870384822804314,4.051305818181818,1.907394453004622,5.8757612727272726,2.76636594761171,325.68,,325.68
1971,5.8905270000000005,2.7733177966101694,4.133493545454546,1.946089239856189,4.216145727272727,1.9850026964560863,5.8905270000000005,2.7733177966101694,326.32,,326.32
1972,6.167616818181819,2.9037743965074476,4.324159363636364,2.035856574216744,4.411774636363637,2.0771067026194148,6.167616818181819,2.9037743965074476,327.46,,327.46
1973,6.349069909090909,2.9892042886492036,4.550590090909091,2.1424623780174623,4.643361272727272,2.186139958911145,6.349069909090909,2.9892042886492036,329.68,,329.68
1974,6.343233545454546,2.9864564714946074,4.528612636363636,2.1321151771956854,4.621506545454546,2.175850539291217,6.343233545454546,2.9864564714946074,330.19,,330.19
1975,6.290401090909091,2.961582434514638,4.527663,2.131668079096045,4.620356454545455,2.1753090652285567,6.290401090909091,2.961582434514638,331.13,,331.13
1976,6.510751636363637,3.065325629173087,4.760842363636365,2.2414512069851056,4.8579477272727285,2.287169363122753,6.510751636363637,3.065325629173087,332.03,,332.03
1977,6.798664363636364,3.2008777606574217,4.891536818181819,2.30298343605547,4.993185,2.350840395480226,6.798664363636364,3.2008777606574217,333.84,,333.84
1978,6.964789909090909,3.279091294298921,5.066121,2.385179378531073,5.174636181818181,2.4362693888032867,6.964789909090909,3.279091294298921,335.41,,335.41
1979,6.903260454545455,3.2501226245505905,5.1961153636363635,2.446381997945557,5.306216181818182,2.49821854134566,6.903260454545455,3.2501226245505905,336.85,336.85,336.84
1980,6.917155636363635,3.2566646122239336,5.169663818181817,2.4339283513097065,5.280433636363636,2.486079866461222,6.917155636363635,3.2566646122239336,338.91,338.91,338.76
1981,6.728090454545455,3.1676508731381614,5.025516818181819,2.366062532100668,5.136295636363636,2.418218284540318,6.728090454545455,3.1676508731381614,340.11,340.11,340.12
1982,6.604346454545454,3.109390986132511,4.985546454545455,2.347244093477144,5.09574109090909,2.3991248073959937,6.604346454545454,3.109390986132511,340.85,340.85,341.48
1983,6.734462454545455,3.1706508731381615,5.029063636363637,2.367732408834104,5.141775000000001,2.4207980225988703,6.734462454545455,3.1706508731381615,342.53,342.53,343.15
1984,7.044413727272726,3.3165789676425264,5.177345727272727,2.437545069337442,5.292195818181818,2.49161761684643,7.044413727272726,3.3165789676425264,344.07,344.07,344.87
1985,7.33011,3.451087570621469,5.362796181818182,2.5248569594247563,5.478907363636363,2.57952324088341,7.33011,3.451087570621469,345.54,345.54,346.35
1986,7.451300727272726,3.5081453518233174,5.437182545454545,2.5598787878787874,5.55766909090909,2.6166050333846935,7.451300727272726,3.5081453518233174,346.97,346.97,347.61
1987,7.508035909090909,3.534856831022085,5.610855818181817,2.6416458654340005,5.73586909090909,2.7005033384694395,7.508035909090909,3.534856831022085,348.68,348.68,349.31
1988,7.632541090909092,3.5934750898818697,5.822011636363636,2.741060092449923,5.953446545454546,2.8029409347714433,7.632541090909092,3.5934750898818697,351.16,351.16,351.69
1989,7.662002181818183,3.6073456599897282,5.896667727272728,2.776208911145352,6.0308694545454555,2.8393923985618903,7.662002181818183,3.6073456599897282,352.79,352.79,353.2
1990,7.697669454545456,3.624138161273755,5.97359890909091,2.8124288649203906,6.107923090909092,2.8756700051361075,7.697669454545456,3.624138161273755,354.06,354.06,354.45
